Track_Id,track_name,total_weeks
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,90
4G8gkOterJn0Ywt6uhqbhp,Radioactive,87
7ueP5u2qkdZbIPN2YA6LR0,Sail,79
1LmZCslgfmzmifaWOrdzpJ,I'm Yours,76
6sy3LkhNFjJWlaeSMNwQ62,Counting Stars,68
1c8gk2PeTE04A1pIDH9YMk,Rolling In The Deep,65
0ZUo4YjG4saFnEJhdWp9Bt,Before He Cheats,64
0W4Kpfp1w2xkY3PrV714B7,Ho Hey,62
0815caqt2Lytro5EIzMufT,You And Me,62
21jGcNKet2qwijlDFuPiPb,Circles,61
3LlAyCYU26dvFZBDUIMb7a,Demons,61
11EX5yhxr9Ihl3IN1asrfK,Need You Now,60
3U4isOIWM3VvDubwSI3y7a,All Of Me,59
7qiZfU4dY1lWllzX7mPBI3,Shape Of You,59
5fVZC9GiM4e8vu99W0Xf6J,How To Save A Life,58
34gCuhDGsG4bRPIf9bb02f,Thinking Out Loud,58
11ozIUBoXAgRTVWelDn4pL,Lights,57
0tgVpDi06FyKpA1z0VMD4v,Perfect,57
5VGlqQANWDKJFl0MBG3sg2,Use Somebody,57
5nujrmhLynf4yMoMtj8AQF,1985 (Intro To The Fall Off),56
691aKlxMMYi6ZJU4Deuy86,I Gotta Feeling,56
6t6oULCRS6hnI7rm0h5gwl,Some Nights,56
5Nm9ERjJZ5oyfXZTECKmRt,Stay With Me,54
4HlFJV71xXKIGcU3kRyttv,"Hey, Soul Sister",54
0nrRP2bk19rLc0orkWPQk2,Wake Me Up!,54
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,54
3gbBpTdY8lnQwqxNCcf795,Pompeii,53
4kbj5MwxO1bq9wjT5g9HaA,Shut Up And Dance,53
4u26EevCNXMhlvE1xFBJwX,If I Die Young,53
5jsw9uXEGuKyJzs0boZ1bT,Stitches,52
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,52
6FZDfxM3a3UCqtzo5pxSLZ,Without Me,52
7dt6x5M1jzdTEt8oCbisTK,Better Now,52
3CRDbSIZ4r5MsZ0YwxuEkn,Stressed Out,52
2xLMifQCjDGFmkHkpNLD9h,Sicko Mode,52
1zB4vmk8tFRmM9UULNzbLB,Thunder,52
2d8JP84HNLKhmd6IYOoupQ,Trap Queen,52
2gMXnyrvIjhVBUZwvLZDMP,Before You Go,52
2mak6mzwgFTl7PQIt2msQA,Don't Start Now,52
0pqnGHJpmpxLKifKRmU6WP,Believer,52
0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,52
1rqqCSm0Qe4I9rUvWncaom,High Hopes,52
7yFhA2fUsL2oIMWlw5DaHQ,The Bones,52
1mea3bSkSGXuIRvnydlB5b,Viva La Vida,51
5RIVoVdkDLEygELLCniZFr,Watch Me,51
4bVuIlGQBMWS7vIhcx8Ae4,What Hurts The Most,51
3TGRqZ0a2l1LRblBkJoaDx,Call Me Maybe,50
42fw0rxRO2xbesF6mJfd4Y,Tequila,50
5xTtaWoae3wi06K5WfVUUH,Shake It Off,50
1qrpoAMXodY6895hGKoUpA,You Belong With Me,50
28IEbk5a7twNTbUEvWslUb,Paralyzer,50
3jjujdWJ72nww5eGnfs2E7,Adore You,50
2Fxmhks0bxGSBdJ92vM42m,Bad Guy,49
1D4PL9B8gOg78jiHg3FvBb,Love Story,49
6n9yCXvLhnYMgJIiIcMu7D,Rockstar,49
7fBv7CLKzipRk6EC6TWHOB,The Hills,48
7BqBn9nzAq8spo5e7cZ0dJ,Just The Way You Are,48
6zeeWid2sgw4lap2jV61PZ,Better,48
4AniPkv5vgdE1n6VKreiyI,Big Girls Don't Cry,48
2ekn2ttSfGqwhhate0LSR0,New Rules,48
2iUXsYOEPhVqEBwsqP70rE,Youngblood,48
285pBltuF7vW8TeWk8hdRR,Lucid Dreams,48
7zMcNqs55Mxer82bvZFkpg,Teardrops On My Guitar,48
