,Album_Id,Album_Type,Href,Album_Name,Label,Release_date,Release_date_precision,Total_tracks,Uri
0,21jF5jlMtzo94wbxmJ18aa,album,https://api.spotify.com/v1/albums/21jF5jlMtzo94wbxmJ18aa,30,Columbia,2021-11-19,day,12,spotify:album:21jF5jlMtzo94wbxmJ18aa
1,4QLAtpLNUsHEYrcHXmMIZZ,single,https://api.spotify.com/v1/albums/4QLAtpLNUsHEYrcHXmMIZZ,STAY (with Justin Bieber),Columbia,2021-07-09,day,1,spotify:album:4QLAtpLNUsHEYrcHXmMIZZ
2,622NFw5Yk0OReMJ2XWcXUh,single,https://api.spotify.com/v1/albums/622NFw5Yk0OReMJ2XWcXUh,INDUSTRY BABY (feat. Jack Harlow),Columbia,2021-07-23,day,1,spotify:album:622NFw5Yk0OReMJ2XWcXUh
3,4sShdTo9jO2RGLgDkZBgN8,album,https://api.spotify.com/v1/albums/4sShdTo9jO2RGLgDkZBgN8,Country Stuff The Album,Monument Records,2022-01-21,day,13,spotify:album:4sShdTo9jO2RGLgDkZBgN8
4,32iAEBstCjauDhyKpGjTuq,album,https://api.spotify.com/v1/albums/32iAEBstCjauDhyKpGjTuq,=,Atlantic Records UK,2021-10-29,day,14,spotify:album:32iAEBstCjauDhyKpGjTuq
5,3SpBlxme9WbeQdI9kx7KAV,album,https://api.spotify.com/v1/albums/3SpBlxme9WbeQdI9kx7KAV,Certified Lover Boy,OVO,2021-09-03,day,21,spotify:album:3SpBlxme9WbeQdI9kx7KAV
6,6s84u2TUpR3wdUv4NgKA2j,album,https://api.spotify.com/v1/albums/6s84u2TUpR3wdUv4NgKA2j,SOUR,Olivia Rodrigo PS,2021-05-21,day,11,spotify:album:6s84u2TUpR3wdUv4NgKA2j
7,1nAQbHeOWTfQzbOoFrvndW,album,https://api.spotify.com/v1/albums/1nAQbHeOWTfQzbOoFrvndW,Planet Her,Kemosabe Records/RCA Records,2021-06-25,day,14,spotify:album:1nAQbHeOWTfQzbOoFrvndW
8,5lKlFlReHOLShQKyRv6AL9,album,https://api.spotify.com/v1/albums/5lKlFlReHOLShQKyRv6AL9,Future Nostalgia,Warner Records,2020-03-27,day,13,spotify:album:5lKlFlReHOLShQKyRv6AL9
9,0Rn8NAh8NnoaCOt8r8Tc3e,single,https://api.spotify.com/v1/albums/0Rn8NAh8NnoaCOt8r8Tc3e,Essence (feat. Justin Bieber & Tems),Starboy/RCA Records,2021-08-13,day,1,spotify:album:0Rn8NAh8NnoaCOt8r8Tc3e
10,5bfpRtBW7RNRdsm3tRyl3R,album,https://api.spotify.com/v1/albums/5bfpRtBW7RNRdsm3tRyl3R,Dreamland,Polydor Records,2020-08-07,day,16,spotify:album:5bfpRtBW7RNRdsm3tRyl3R
11,2qJw6w5XwQO0PQlSWPu7Tw,album,https://api.spotify.com/v1/albums/2qJw6w5XwQO0PQlSWPu7Tw,Chosen,RCA Records Label,2017-12-08,day,7,spotify:album:2qJw6w5XwQO0PQlSWPu7Tw
12,5D8Rdb09BkmHscEGSWAlA6,single,https://api.spotify.com/v1/albums/5D8Rdb09BkmHscEGSWAlA6,Cold Heart (PNAU Remix),EMI,2021-08-13,day,1,spotify:album:5D8Rdb09BkmHscEGSWAlA6
13,2fyOpT5c9kxR8zbDh6UtXh,single,https://api.spotify.com/v1/albums/2fyOpT5c9kxR8zbDh6UtXh,Save Your Tears (Remix),Republic Records,2021-04-23,day,1,spotify:album:2fyOpT5c9kxR8zbDh6UtXh
14,2cydSJJLXu2TtP9VoOnGn4,album,https://api.spotify.com/v1/albums/2cydSJJLXu2TtP9VoOnGn4,MACON,Broken Bow Records,2021-11-12,day,15,spotify:album:2cydSJJLXu2TtP9VoOnGn4
15,39McjovZ3M6n5SFtNmWTdp,single,https://api.spotify.com/v1/albums/39McjovZ3M6n5SFtNmWTdp,My Universe,Parlophone UK,2021-09-24,day,2,spotify:album:39McjovZ3M6n5SFtNmWTdp
16,338LPt19lJ2GiGmxDSOAtR,album,https://api.spotify.com/v1/albums/338LPt19lJ2GiGmxDSOAtR,Who is Nardo Wick?,Flawless Ent./RCA Records,2021-12-03,day,18,spotify:album:338LPt19lJ2GiGmxDSOAtR
17,2kZyqn4Cmr78D74K9TcO4K,album,https://api.spotify.com/v1/albums/2kZyqn4Cmr78D74K9TcO4K,THE ANXIETY,"MSFTSMusic / Roc Nation Records, LLC",2020-03-13,day,10,spotify:album:2kZyqn4Cmr78D74K9TcO4K
18,6pOiDiuDQqrmo5DbG0ZubR,album,https://api.spotify.com/v1/albums/6pOiDiuDQqrmo5DbG0ZubR,MONTERO,Columbia,2021-09-17,day,15,spotify:album:6pOiDiuDQqrmo5DbG0ZubR
19,5QUwCi1lbk0kZ5k87fRNbK,single,https://api.spotify.com/v1/albums/5QUwCi1lbk0kZ5k87fRNbK,Chasing After You (with Maren Morris),Arista Nashville,2021-02-12,day,1,spotify:album:5QUwCi1lbk0kZ5k87fRNbK
20,2Dbe9L757CSQbhnbW5PVSH,album,https://api.spotify.com/v1/albums/2Dbe9L757CSQbhnbW5PVSH,Paradise Again,Republic Records,2022-04-15,day,17,spotify:album:2Dbe9L757CSQbhnbW5PVSH
