,Artist_Id,Artist_Name,Followers,Popularity,Artist_Type,Uri
0,1Uff91EOsvd99rtAupatMP,Arab,1431697,67,artist,spotify:artist:1Uff91EOsvd99rtAupatMP
1,2x8KDZdSONA3872CnhaAlX,Styles P.,677442,60,artist,spotify:artist:2x8KDZdSONA3872CnhaAlX
2,6GH0NzpthMGxu1mcfAkOde,Hellogoodbye,216992,45,artist,spotify:artist:6GH0NzpthMGxu1mcfAkOde
3,4J3wzDMI97AlGimdiVcaLb,Crazy Frog,402999,56,artist,spotify:artist:4J3wzDMI97AlGimdiVcaLb
4,2AsusXITU8P25dlRNhcAbG,Gotye,2363875,66,artist,spotify:artist:2AsusXITU8P25dlRNhcAbG
5,5DYAABs8rkY9VhwtENoQCz,Gavin DeGraw,1282729,60,artist,spotify:artist:5DYAABs8rkY9VhwtENoQCz
6,2DzRMyWgjuMbYvt5BLbpCo,Anthony Hamilton,1517167,57,artist,spotify:artist:2DzRMyWgjuMbYvt5BLbpCo
7,3wcj11K77LjEY1PkEazffa,Burna Boy,5985628,78,artist,spotify:artist:3wcj11K77LjEY1PkEazffa
8,40xbWSB4JPdOkRyuTDy1oP,Nicole Scherzinger,2358308,61,artist,spotify:artist:40xbWSB4JPdOkRyuTDy1oP
9,7IfculRW2WXyzNQ8djX8WX,Erykah Badu,2692880,66,artist,spotify:artist:7IfculRW2WXyzNQ8djX8WX
10,0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels,4973444,73,artist,spotify:artist:0ZED1XzwlLHW4ZaG4lOT6m
11,0awl5piYwO0CDTHEkCjUhn,Vinz,516731,61,artist,spotify:artist:0awl5piYwO0CDTHEkCjUhn
12,4Rxn7Im3LGfyRkY2FlHhWi,Nick Jonas,9144661,65,artist,spotify:artist:4Rxn7Im3LGfyRkY2FlHhWi
13,2X57rXhhffBUQ5hyfSCCLM,The Rock Heroes,171,0,artist,spotify:artist:2X57rXhhffBUQ5hyfSCCLM
14,7omzannyG2lfDqP5xyZo34,Joshua Radin,387510,50,artist,spotify:artist:7omzannyG2lfDqP5xyZo34
15,4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,2819325,79,artist,spotify:artist:4DdkRBBYG6Yk9Ka8tdJ9BW
16,19Fi1Rj7kk8kyiwxpXy3yM,August Alsina,2554842,59,artist,spotify:artist:19Fi1Rj7kk8kyiwxpXy3yM
17,1iqf0x89oxmmAFv9w9hiJM,Ron Browz,6323,36,artist,spotify:artist:1iqf0x89oxmmAFv9w9hiJM
18,3CygdxquGHurS7f9LjNLkv,Little Big Town,2715191,64,artist,spotify:artist:3CygdxquGHurS7f9LjNLkv
19,2Rf4X6m0oayCJhaJ5K63GQ,Nathan Sykes,472947,53,artist,spotify:artist:2Rf4X6m0oayCJhaJ5K63GQ
20,1tqhsYv8yBBdwANFNzHtcr,Lil Dicky,1952301,59,artist,spotify:artist:1tqhsYv8yBBdwANFNzHtcr
21,3AQRLZ9PuTAozP28Skbq8V,The Script,7965082,72,artist,spotify:artist:3AQRLZ9PuTAozP28Skbq8V
22,4rDcfb3TEWyx0BKdzKG24I,Jay Z Kanye West,100596,53,artist,spotify:artist:4rDcfb3TEWyx0BKdzKG24I
23,5xenrbYhp4IRydrWpBe4Bx,LeToya,625310,39,artist,spotify:artist:5xenrbYhp4IRydrWpBe4Bx
24,3YQKmKGau1PzlVlkL1iodx,twenty one pilots,23818561,78,artist,spotify:artist:3YQKmKGau1PzlVlkL1iodx
25,5fSVkkuijRIpxuvSqysYiP,Snow,145000,63,artist,spotify:artist:5fSVkkuijRIpxuvSqysYiP
26,7iZtZyCzp3LItcw1wtPI3D,Rae Sremmurd,7246010,72,artist,spotify:artist:7iZtZyCzp3LItcw1wtPI3D
27,5Z5jUyiNvFaqp0EVyLNf0p,FUTURISTIC,513505,53,artist,spotify:artist:5Z5jUyiNvFaqp0EVyLNf0p
28,3hozsZ9hqNq7CoBGYNlFTz,OK Go,501072,52,artist,spotify:artist:3hozsZ9hqNq7CoBGYNlFTz
29,6vbY3hOaCAhC7VjucswgdS,Twista,963955,64,artist,spotify:artist:6vbY3hOaCAhC7VjucswgdS
30,4urap4WzzvxwW5cC12CBGv,Chris Blue,11820,17,artist,spotify:artist:4urap4WzzvxwW5cC12CBGv
31,4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,15437844,88,artist,spotify:artist:4O15NlyKLIASxsJ0PrXPfz
32,7bXgB6jMjp9ATFy66eO08Z,Chris Brown,19967922,85,artist,spotify:artist:7bXgB6jMjp9ATFy66eO08Z
33,4zxvC7CRGvggq9EWXOpwAo,Kiesza,293007,54,artist,spotify:artist:4zxvC7CRGvggq9EWXOpwAo
34,40LHVA5BTQp9RxHOQ9JPYj,Lauren Daigle,2450859,68,artist,spotify:artist:40LHVA5BTQp9RxHOQ9JPYj
35,2rIaXMzFroqNiyyTkayeWU,Garrett Hedlund,19930,39,artist,spotify:artist:2rIaXMzFroqNiyyTkayeWU
36,4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,9139819,76,artist,spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ
37,64KEffDW9EtZ1y2vBYgq8T,Marshmello,35187953,82,artist,spotify:artist:64KEffDW9EtZ1y2vBYgq8T
38,63yrD80RY3RNEM2YDpUpO8,Melanie Martinez,17751980,81,artist,spotify:artist:63yrD80RY3RNEM2YDpUpO8
39,26cMerAxjx9GedFt0lMDjm,Bella Poarch,1082239,63,artist,spotify:artist:26cMerAxjx9GedFt0lMDjm
40,7qRll6DYV06u2VuRPAVqug,Foxes,309097,59,artist,spotify:artist:7qRll6DYV06u2VuRPAVqug
41,1Xfmvd48oOhEWkscWyEbh9,Lloyd,2191915,64,artist,spotify:artist:1Xfmvd48oOhEWkscWyEbh9
42,3OykSjAE6F2Mb51WplFoRk,THE ANXIETY: WILLOW,101961,56,artist,spotify:artist:3OykSjAE6F2Mb51WplFoRk
43,0jnsk9HBra6NMjO2oANoPY,Flo Rida,8894819,77,artist,spotify:artist:0jnsk9HBra6NMjO2oANoPY
44,1rs3y69kDwkIdGJcOYngQt,J. Davi$,4293,56,artist,spotify:artist:1rs3y69kDwkIdGJcOYngQt
45,0KlSW3j5fUEfej47FOrBMr,Artists Of Then,16612,38,artist,spotify:artist:0KlSW3j5fUEfej47FOrBMr
46,23LbwefIODbyGdRbAz3urj,Yung Joc,787048,60,artist,spotify:artist:23LbwefIODbyGdRbAz3urj
47,3c95qPRLU7Jpu9rC3rc5A0,James Wolpert,2465,10,artist,spotify:artist:3c95qPRLU7Jpu9rC3rc5A0
48,1vCWHaC5f2uS3yhpwWbIA6,Avicii,23000960,80,artist,spotify:artist:1vCWHaC5f2uS3yhpwWbIA6
49,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,15843503,82,artist,spotify:artist:5Pwc4xIPtQLFEnJriah9YJ
50,4F84IBURUo98rz4r61KF70,The White Stripes,2871885,70,artist,spotify:artist:4F84IBURUo98rz4r61KF70
51,2ziB7fzrXBoh1HUPS6sVFn,Audioslave,4202584,67,artist,spotify:artist:2ziB7fzrXBoh1HUPS6sVFn
52,1Hsdzj7Dlq2I7tHP7501T4,Niall Horan,9636164,77,artist,spotify:artist:1Hsdzj7Dlq2I7tHP7501T4
53,2aYJ5LAta2ScCdfLhKgZOY,Cobra Starship,502057,56,artist,spotify:artist:2aYJ5LAta2ScCdfLhKgZOY
54,5bfglVyGJppmmNoC2rhBUG,Natalie,507439,60,artist,spotify:artist:5bfglVyGJppmmNoC2rhBUG
55,67ZcPnEGiAlCx2O3sQarWV,Alexandra,155455,52,artist,spotify:artist:67ZcPnEGiAlCx2O3sQarWV
56,7n2Ycct7Beij7Dj7meI4X0,TWICE,18124260,80,artist,spotify:artist:7n2Ycct7Beij7Dj7meI4X0
57,4Q3f2YYH4gQxWFS3WY5G3j,Soko,268474,46,artist,spotify:artist:4Q3f2YYH4gQxWFS3WY5G3j
58,790FomKkXshlbRYZFtlgla,Karol G,36838823,88,artist,spotify:artist:790FomKkXshlbRYZFtlgla
59,2o08sCWF5yyo2G4DCiT7T9,HVME,58567,63,artist,spotify:artist:2o08sCWF5yyo2G4DCiT7T9
60,4AapPt7H6bGH4i7chTulpI,Ben Rector,348404,59,artist,spotify:artist:4AapPt7H6bGH4i7chTulpI
61,0gg11prPP6OqtUvBcKnPpq,Rylo Rodriguez,327059,60,artist,spotify:artist:0gg11prPP6OqtUvBcKnPpq
62,5P2rwRBgIN450RaJxdjYdA,Kardinal Offishall,63194,59,artist,spotify:artist:5P2rwRBgIN450RaJxdjYdA
63,2AOt5htsbtyaHd5Eq3kl3j,Maxwell,1629374,56,artist,spotify:artist:2AOt5htsbtyaHd5Eq3kl3j
64,3kVUvbeRdcrqQ3oHk5hPdx,Grouplove,1143203,63,artist,spotify:artist:3kVUvbeRdcrqQ3oHk5hPdx
65,3Cv2vi3WTl8VZOTdrBkKdM,Wonder Girls,747347,57,artist,spotify:artist:3Cv2vi3WTl8VZOTdrBkKdM
66,3VStI6m5Ig9FAyUaa0lYAP,James Otto,94454,44,artist,spotify:artist:3VStI6m5Ig9FAyUaa0lYAP
67,369G5DRwe0MjvyOoyyVXGN,Sara Ramirez,44527,38,artist,spotify:artist:369G5DRwe0MjvyOoyyVXGN
68,5lpH0xAS4fVfLkACg9DAuM,Wham!,2348193,66,artist,spotify:artist:5lpH0xAS4fVfLkACg9DAuM
69,64g59lHsc4g2jMFokrKDGW,My Darkest Days,567782,58,artist,spotify:artist:64g59lHsc4g2jMFokrKDGW
70,6sCbFbEjbYepqswM1vWjjs,Zendaya,4075709,68,artist,spotify:artist:6sCbFbEjbYepqswM1vWjjs
71,1EeArivTpzLNCqubV95255,Cali Swag District,87227,49,artist,spotify:artist:1EeArivTpzLNCqubV95255
72,15ZjD8Gus20Miqw3fdOaXX,Stunna Gambino,89950,51,artist,spotify:artist:15ZjD8Gus20Miqw3fdOaXX
73,6fzQ81ouajOEFqCIB9VwrS,Morgan Evans,176708,58,artist,spotify:artist:6fzQ81ouajOEFqCIB9VwrS
74,3jksrX4oBklxR78ft8gv3j,Plies,1817895,60,artist,spotify:artist:3jksrX4oBklxR78ft8gv3j
75,3RXtieA0L2l22SWlOUMNca,Karen Fairchild,1081,39,artist,spotify:artist:3RXtieA0L2l22SWlOUMNca
76,73Np75Wv2tju61Eo9Zw4IR,Idina Menzel,426297,67,artist,spotify:artist:73Np75Wv2tju61Eo9Zw4IR
77,69GGBxA162lTqCwzJG5jLp,The Chainsmokers,20265632,79,artist,spotify:artist:69GGBxA162lTqCwzJG5jLp
78,0k7Xl1pqI3tu8sSEjo5oEg,Paul Wall,793856,64,artist,spotify:artist:0k7Xl1pqI3tu8sSEjo5oEg
79,4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,9513201,80,artist,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
80,4zIBkSJcqRp4ADuFI94WvO,Darryl Worley,227719,42,artist,spotify:artist:4zIBkSJcqRp4ADuFI94WvO
81,4XqfpACObRB5AsBcUYjL8X,MC Eiht,355015,58,artist,spotify:artist:4XqfpACObRB5AsBcUYjL8X
82,3UBvyQF5Hipou6Pm7wncxr,Neil Patrick Harris,26918,42,artist,spotify:artist:3UBvyQF5Hipou6Pm7wncxr
83,5lKZWd6HiSCLfnDGrq9RAm,Leona Lewis,3525116,63,artist,spotify:artist:5lKZWd6HiSCLfnDGrq9RAm
84,1XhhO2dTs2fKyhILj0aam6,Phil Vassar,339335,44,artist,spotify:artist:1XhhO2dTs2fKyhILj0aam6
85,2NoFr6doacvN58q9p9EFky,Kalenna,5041,47,artist,spotify:artist:2NoFr6doacvN58q9p9EFky
86,0GM7qgcRCORpGnfcN2tCiB,Tainy,1515061,81,artist,spotify:artist:0GM7qgcRCORpGnfcN2tCiB
87,4PpmBoqphQusNFsxuVKb6j,Paula Abdul,1035231,51,artist,spotify:artist:4PpmBoqphQusNFsxuVKb6j
88,4ULO7IGI3M2bo0Ap7B9h8a,Teyana Taylor,1713290,60,artist,spotify:artist:4ULO7IGI3M2bo0Ap7B9h8a
89,1rw8ZTLnDHd74TWDDukjVi,Conrad,110178,60,artist,spotify:artist:1rw8ZTLnDHd74TWDDukjVi
90,6MAAqVPDbQXqzX1fuyY91p,Chris Jamison,7131,12,artist,spotify:artist:6MAAqVPDbQXqzX1fuyY91p
91,4jpsw9CQS439N0B7SecMgf,Ant Saunders,85350,47,artist,spotify:artist:4jpsw9CQS439N0B7SecMgf
92,53M4Iv2RkzzxFFvW2B1jhC,Breathe Carolina,360029,53,artist,spotify:artist:53M4Iv2RkzzxFFvW2B1jhC
93,35GL8Cu2GKTcHzKGi75xl5,Jennifer Hudson,1798105,55,artist,spotify:artist:35GL8Cu2GKTcHzKGi75xl5
94,4NHQUGzhtTLFvgF5SZesLK,Tove Lo,3434758,73,artist,spotify:artist:4NHQUGzhtTLFvgF5SZesLK
95,7fJYw1vK9yWb8o51I8qHin,Chad Kroeger,59835,52,artist,spotify:artist:7fJYw1vK9yWb8o51I8qHin
96,4fxd5Ee7UefO4CUXgwJ7IP,Giveon,3034652,76,artist,spotify:artist:4fxd5Ee7UefO4CUXgwJ7IP
97,25u4wHJWxCA9vO0CzxAbK7,Lukas Graham,2099574,69,artist,spotify:artist:25u4wHJWxCA9vO0CzxAbK7
98,5wPoxI5si3eJsYYwyXV4Wi,N*E*R*D,808452,56,artist,spotify:artist:5wPoxI5si3eJsYYwyXV4Wi
99,4IprNlQiJZUUJhDl0fL2SL,Quando Rondo,2415687,60,artist,spotify:artist:4IprNlQiJZUUJhDl0fL2SL
100,3UVRliakQfa1pMWIsNuiZ8,Musiq Soulchild,1101667,58,artist,spotify:artist:3UVRliakQfa1pMWIsNuiZ8
101,6NOvBZrkd83MSD51xkq4on,Elephant Man,352686,51,artist,spotify:artist:6NOvBZrkd83MSD51xkq4on
102,1c70yCa8sRgIiQxl3HOEFo,Cherish,603415,64,artist,spotify:artist:1c70yCa8sRgIiQxl3HOEFo
103,1YWJ1WjMkBCB1X3QOJ1Wdn,High School Musical 3 Cast,206552,46,artist,spotify:artist:1YWJ1WjMkBCB1X3QOJ1Wdn
104,6mXlDbi03T8wXYwWYew0Ut,Rich Boy,352114,44,artist,spotify:artist:6mXlDbi03T8wXYwWYew0Ut
105,2HUwZ0kumzCSlhFcjFZfpp,Flipp Dinero,1247037,56,artist,spotify:artist:2HUwZ0kumzCSlhFcjFZfpp
106,7xTcuBOIAAIGDOSvwYFPzk,Daniel Powter,254365,59,artist,spotify:artist:7xTcuBOIAAIGDOSvwYFPzk
