release_year,avg_duration
1942,177480
1945,175333
1947,168500
1957,130073
1959,130440
1962,130460
1963,164130
1964,126267
1965,135533
1969,318027
1970,160133
1975,354320
1977,257800
1978,177440
1980,199440
1982,311093
1984,312133
1985,260702
1986,213755
1987,274795
1988,258688
1990,231173
1992,271093
1994,241107
1995,186267
1996,293760
1998,214440
1999,193973
2000,241030
2001,226220
2002,221960
2003,245974
2004,237144
2005,236707
2006,232945
2007,230434
2008,234575
2009,232506
2010,230539
2011,227924
2012,229628
2013,237464
2014,223512
2015,220558
2016,222572
2017,215205
2018,207257
2019,198074
2020,192746
2021,202940
2022,201762
2023,209443
