Id,Name,Followers,Popularity
7wlFDEWiM5OoIAt8RSli8b,YoungBoy Never Broke Again,11108745,84
0XeEobZplHxzM9QzFQWLiR,Eslabon Armado,4051969,86
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,90601582,89
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,16834659,89
2R21vXR83lH98kGeO99Y66,Anuel AA,29283219,89
13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,12269129,82
31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,7424037,82
7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,19989858,87
4dpARuHxo51G3z768sgnrY,Adele,48604419,86
5ZS223C6JyBfXasXxrRqOk,Jhené Aiko,6478631,77
3FfvYsEGaIb52QPXhg4DcH,Jason Aldean,6057593,75
1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex,7181471,81
711MCceyCBcFnzjGY4Q7Un,AC/DC,26514754,81
3jK9MiCrA42lLAdMGUZpwa,Anderson .Paak,2350119,78
0z4gvV4rjIZ9wHck67ucSV,Akon,3762173,80
4SsVbpTthjScTS7U2hmr1X,Arcángel,10932291,84
20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,11840820,77
5eAWCfyUhZtHHtBdNk56l1,System Of A Down,9204015,80
6s22t5Y3prQHyaHWUN1R1C,AJR,2910959,74
4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,3784237,77
2xzyIzdjfeXX6FIQtlAAyw,ARIZONATEARS,7755,75
2QsynagSdAqZj3U9HgDzjD,Bob Marley & The Wailers,11538421,79
7cYEt1pqMgXJdq00hAwVpT,Chase Atlantic,4967997,79
0LcJLqbBmaGUft1e9Mm8HV,ABBA,10286086,80
3Gm5F95VdRxW3mqCn8RPBJ,Aminé,1863786,73
4mxWe1mtYIYfP040G38yvS,Alan Jackson,2346570,72
3DiDSECUqqY1AuBP8qtaIa,Alicia Keys,10730769,78
2oQX8QiMXOyuqbcZEFsZfm,El Alfa,2869881,77
0nmQIMXWTXfhgOBdNzhGOs,Avenged Sevenfold,6229984,75
1vCWHaC5f2uS3yhpwWbIA6,Avicii,22871057,81
5RmQ8k4l3HZ8JoPb4mNsML,Agust D,11762879,81
0XKOBt59crntr7HQXXO8Yz,Brooks & Dunn,2635776,71
1qto4hHid1P71emI6Fd8xi,Aventura,7192174,78
5dHt1vcEm9qb8fCyLcB3HL,A$AP Ferg,3571361,72
7Ey4PD4MYsKc5I2dolUwbH,Aerosmith,13476064,76
0eVyjRhzZKke2KFYTcDkeu,The Alchemist,464083,72
7z5WFjZAIYejWy0NI5lv4T,Dan + Shay,2942730,73
5IH6FPUwQTxPSXurCrcIov,Alec Benjamin,4336091,76
1moxjboGR7GNWYIMWsRjgG,Florence + The Machine,6379922,77
64tNsm6TnZe2zpcMVMOoHL,Alice In Chains,4541726,72
1wZtkThiXbVNtj6hee6dz9,Wisin & Yandel,6352658,80
5FxD8fkQZ6KcsSYupDVoSO,Omar Apollo,808766,71
4npEfmQ6YuiwW1GpUmaq3F,Ava Max,5895863,79
1l7ZsJRRS8wlW3WfJfPfNS,Christina Aguilera,7579702,77
0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,9885501,76
4IWBUUAFIplrNtaOHcJPRM,James Arthur,11842367,81
77tT1kLj6mCWtFNqiOmP9H,Daryl Hall & John Oates,2114239,72
6lcwlkAjBPSKnFBZjjZFJs,Alex G,672101,70
0ZCO8oVkMj897cKgFH7fRW,Los Ángeles Azules,6964038,76
4oLeXFyACqeem2VImYeBFe,Fred again..,748325,77
7vk5e3vY1uw9plTHJAMwjN,Alan Walker,38023371,81
3PyJHH2wyfQK3WZrk9rpmP,Ashnikko,1951110,70
5NUPPRjsbXHNyVDrUESYeh,Grupo Arriesgado,712183,72
4wLXwxDeWQ8mtUIRPxGiD6,Marc Anthony,8868832,77
4tuJ0bMpJh08umKkEXKUI5,Gracie Abrams,1031368,72
2rwALQ1SXdfUWPUd6WOfYS,Aaron May,323382,69
4NiJW4q9ichVqL1aUsgGAN,A Day To Remember,2219912,70
46gyXjRIvN1NL1eCB8GBxo,All Time Low,2941472,70
